OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS,SHAPE
3455197,04092021055,Food Lion #193 Deli,5633 CREEDMOOR RD,,RALEIGH,NC,27612-6316,(919) 781-0597,2001/02/26 05:00:00+00,Food Stand,823,-78.68200654,35.85879308,M,
3455198,04092300192,Food Lion #536 Meat Market ,9101 - 107 Leesville Rd,,RALEIGH,NC,27613,,2001/01/01 05:00:00+00,Meat Market,834,-78.72548111,35.89676189,M,
3455199,04092021056,Cook Out #13,6505 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-6814,(919) 862-8830,2001/02/23 05:00:00+00,Food Stand,832,-78.62236713,35.87165248,M,
3455200,04092013291,Biscuitville # 169,605 STELLATA DR ,,FUQUAY VARINA,NC,27526-1946,(919) 577-6380,2001/03/01 05:00:00+00,Restaurant,838,-78.78197903,35.5913653,M,
3455201,04092021058,Harris Teeter #90 Produce ,13210 STRICKLAND RD ,,RALEIGH,NC,27613-7536,(919) 676-3534,2001/03/15 04:00:00+00,Food Stand,846,-78.72593594,35.90878681,M,
3455202,04092021059,Harris Teeter #90 Meat Market,13210 STRICKLAND RD ,,RALEIGH,NC,27613-7536,(919) 676-3534,2001/03/15 04:00:00+00,Food Stand,847,-78.72593594,35.90878681,M,
3455203,04092010286,GLAXO ZEBULON FOODSERVICE,1011 N ARENDELL AVE ,,ZEBULON,NC,27597,(919) 269-1161,1991/08/23 04:00:00+00,Restaurant,877,-78.32849431,35.83040665,M,
3455204,04092110086,Leesville Middle-Elem. Sch. Cafeteria,8406 PRIDE WAY,,RALEIGH,NC,27613-1004,(919) 870-4200 ext. 24607,1991/08/20 04:00:00+00,Public School Lunchrooms,883,-78.7177671,35.88906857,M,
3455205,04092110064,Combs Elementary Cafeteria,1600 LORIMER RD ,,RALEIGH,NC,27606-2626,(919) 233-4300 ext. 21008,1991/09/16 04:00:00+00,Public School Lunchrooms,894,-78.70364737,35.7769291,M,
3455206,04092110065,Athens Drive Sr. High Cafeteria,1420 ATHENS DR ,,RALEIGH,NC,27606-2427,(919) 233-4050 ext. 24891,1991/09/16 04:00:00+00,Public School Lunchrooms,895,-78.71223228,35.768377,M,
3455207,04092110066,Fuquay Elementary Cafeteria,6600 JOHNSON POND RD ,,FUQUAY VARINA,NC,27526-9036,(919) 557-2578,1991/09/16 04:00:00+00,Public School Lunchrooms,898,-78.7581647,35.60302896,M,
3455208,04092110082,Penny Road Elementary Cafeteria,10900 PENNY RD ,,CARY,NC,27518,(919) 387-2143,1991/09/16 04:00:00+00,Public School Lunchrooms,901,-78.79741418,35.71747453,M,
3455209,04092110034,Oberlin Middle School Cafeteria,2816 OBERLIN RD ,,RALEIGH,NC,27608-1220,(919) 881-4860 ext. 23337,1991/09/16 04:00:00+00,Public School Lunchrooms,913,-78.65663739,35.8136565,M,
3455210,04092110003,Broughton High Cafeteria,723 SAINT MARYS ST ,,RALEIGH,NC,27605-1424,(919) 856-7810 ext. 23266,1991/09/16 04:00:00+00,Public School Lunchrooms,912,-78.65350229,35.790761,M,
3455211,04092021170,Snoopy's Hot Dogs & More # 4,3600 Hillsborough St ,,RALEIGH,NC,27607,(919) 755-9022,2003/02/05 05:00:00+00,Food Stand,931,-78.68359538,35.79338984,M,
3455212,04092110001,Northwoods Elementary Cafeteria,8850 CHAPEL HILL RD ,,CARY,NC,27513-3741,(919) 460-3491 ext. 26939,1991/09/16 04:00:00+00,Public School Lunchrooms,918,-78.78956744,35.79556709,M,
3455213,04092021171,Super Target Deli,12000 Retail Dr,,WAKE FOREST,NC,27587,(919) 761-1001,2003/01/29 05:00:00+00,Food Stand,934,-78.54185066,35.97418205,M,
3455214,04092013767,Bojangles # 31,10610 Durant Rd ,,RALEIGH,NC,27614,(919) 870-8002,2003/02/18 05:00:00+00,Restaurant,949,-78.59121831,35.90586963,M,
3455215,04092013761,Harris Teeter #257 Deli,2080 Kildaire Farm Rd ,,CARY,NC,27511,(919) 233-9483,2003/01/17 05:00:00+00,Restaurant,937,-78.78068643,35.73567118,M,
3455216,04092160004,Litchford Falls Healthcare Kitchen,8200 Litchford Rd,,RALEIGH,NC,27615,(919) 878-7772,2003/04/07 04:00:00+00,Institutional Food Service,1004,-78.6016784,35.89048056,M,
3455217,04092013798,Chili's Grill and Bar #867,115 Carillon Dr ,,GARNER,NC,27529,(919) 771-1700,2003/04/16 04:00:00+00,Restaurant,1015,-78.58321749,35.69333602,M,
3455218,04092013794,Subway #1880,3225 Avent Ferry Rd ,,RALEIGH,NC,27606,(919) 859-2121,2003/05/23 04:00:00+00,Restaurant,1011,-78.69565546,35.76674009,M,
3455219,04092013805,McDonald's #28245,110 Carillon Dr ,,GARNER,NC,27529,(919) 771-2441,2003/04/23 04:00:00+00,Restaurant,1017,-78.582823,35.69257868,M,
3455220,04092021185,LA TAPATIA BUTCHER SHOP & SNACK BAR,1700 St. Albans Dr,,RALEIGH,NC,27609,(919) 954-4816,2003/04/08 04:00:00+00,Food Stand,1023,-78.61051699,35.83290841,M,
3455221,04092160010,Rex Rehabilitation And Nursing Care Center Cafe,4210 Lake Boone Tra ,,RALEIGH,NC,27609,(919) 784-6632,2003/04/16 04:00:00+00,Institutional Food Service,1049,-78.70241812,35.81817357,M,
3455222,04092160011,Sunrise At North Hills Kitchen,615 Spring Forest Rd ,,RALEIGH,NC,27609,(919) 981-6100,2003/04/21 04:00:00+00,Institutional Food Service,1032,-78.62504989,35.86558665,M,
3455223,04092160013,Hillside Nursing Center Foodservice,968 E Wait Ave,,WAKE FOREST,NC,27587,(919) 556-4082,2003/06/06 04:00:00+00,Institutional Food Service,1058,-78.49470384,35.97149988,M,
3455224,04092013811,Moe's Southwest Grill #150,506 Daniels St,,RALEIGH,NC,27605,(919) 664-6637,2003/06/16 04:00:00+00,Restaurant,1065,-78.66105997,35.79149825,M,
3455225,04092021201,Middle Creek Park,151 Middle Creek Park AVE ,,APEX,NC,27502,(919) 427-9891,2003/06/23 04:00:00+00,Food Stand,1073,-78.76496293,35.66721753,M,
3455226,04092021190,Harris Teeter #112 Deli,270 Grande Heights Dr ,,CARY,NC,27513,(919) 460-4326,2003/06/23 04:00:00+00,Food Stand,1086,-78.78057485,35.80470293,M,
3455227,04092021193,Harris Teeter #112 Meat Market/Seafood,270 Grande Heights Dr ,,CARY,NC,27513,(919) 460-4326,2003/06/24 04:00:00+00,Food Stand,1089,-78.78057485,35.80470293,M,
3455228,04092021196,Harris Teeter #112 Produce,270 Grande Heights Dr ,,CARY,NC,27513,(919) 460-4326,2003/06/24 04:00:00+00,Food Stand,1093,-78.78057485,35.80470293,M,
3455229,04092021198,Food Lion #572 Produce,8320-120 Litchford Rd ,,RALEIGH,NC,27615,(919) 790-8146,2003/06/30 04:00:00+00,Food Stand,1107,-78.59988047,35.89223606,M,
3455230,04092160023,Spring Arbor Of East Raleigh Kitchen,1810 New Hope Rd,,RALEIGH,NC,27604,(919) 250-0255,2003/06/29 04:00:00+00,Institutional Food Service,1114,-78.56378624,35.80535916,M,
3455231,04092160025,Wellington Nursing Center Kitchen,1000 Tandal Pl,,KNIGHTDALE,NC,27545,(919) 266-7744,2003/06/29 04:00:00+00,Institutional Food Service,1116,-78.50919634,35.79338908,M,
3455232,04092160021,Woodland Terrace Assisted Living Foodservice,300 Kildaire Woods Dr ,,CARY,NC,27511,(919) 465-0356,2001/09/05 04:00:00+00,Institutional Food Service,1104,-78.77900843,35.76613693,M,
3455233,04092160026,Holly Hill Hospital Kitchen,3019 Falstaff Rd,,RALEIGH,NC,27610,(919) 250-7000,2003/06/28 04:00:00+00,Institutional Food Service,1117,-78.58396915,35.78299275,M,
3455234,04092300216,A & C Supermarket Meat Market,3210-131 S Wilmington St ,,RALEIGH,NC,27603,(919) 232-2288,2003/07/09 04:00:00+00,Meat Market,1131,-78.65148932,35.73682477,M,
3455235,04092013834,Smithfield Chicken & Bar-B-Que,12504 Capital BLVD ,,WAKE FOREST,NC,27587,(919) 488-8388,2003/07/10 04:00:00+00,Restaurant,1136,-78.53382082,35.98666429,M,
3455236,04092013835,Starbucks Coffee #8545,125 Weston Pky,,CARY,NC,27513,(919) 677-6104,2003/07/10 04:00:00+00,Restaurant,1138,-78.77115668,35.82699559,M,
3455237,04092021202,Lowes Foods #207 Deli,112 Bass Lake Rd,,HOLLY SPRINGS,NC,27540,(919) 577-6971,2003/07/10 04:00:00+00,Food Stand,1141,-78.824804,35.65380862,M,
3455238,04092021203,Lowes Foods #207 Produce,112 Bass Lake Rd,,HOLLY SPRINGS,NC,27540,(919) 577-6971,2003/07/10 04:00:00+00,Food Stand,1142,-78.824804,35.65380862,M,
3455239,04092021204,Lowes Foods #207 Meats & Seafood,112 Bass Lake Rd ,,HOLLY SPRINGS,NC,27540,(919) 577-6971,2003/07/10 04:00:00+00,Food Stand,1144,-78.824804,35.65380862,M,
3455240,04092160031,Tower Nursing and Rehabilitation Center Kitchen,3609 Bond St,,RALEIGH,NC,27604,(919) 231-8113,2003/07/10 04:00:00+00,Institutional Food Service,1146,-78.58154882,35.80357742,M,
3455241,04092160043,Universal Health Care Of N.Ral Foodservice,5201 Clarks Fork Dr,,RALEIGH,NC,27616,(919) 872-7033,2003/07/10 04:00:00+00,Institutional Food Service,1147,-78.5554995,35.89053506,M,
3455242,04092012835,Mcdonald's #17721,900 US 64 HWY W ,,APEX,NC,27523,(919) 380-0906,1998/11/16 05:00:00+00,Restaurant,1156,-78.82150684,35.7445101,M,
3455243,04092110090,Pleasant Union Elem.School Cafet.,1900 PLEASANT UNION CHURCH RD ,,RALEIGH,NC,27614-7103,(919) 870-4230 ext. 20424,1992/08/20 04:00:00+00,Public School Lunchrooms,1348,-78.67272921,35.95029497,M,
3455244,04092110091,Swift Creek Elem. Sch. Cafeteria,5601 TRYON RD ,,RALEIGH,NC,27606-4451,(919) 233-4328,1992/08/20 04:00:00+00,Public School Lunchrooms,1350,-78.73415127,35.74422277,M,
3455245,04092110093,Durant Road Elem. Cafeteria,9901 DURANT RD ,YEAR ROUND,RALEIGH,NC,27614-9369,(919) 870-4210,1992/07/02 04:00:00+00,Public School Lunchrooms,1352,-78.5804454,35.89960631,M,
3455246,04092110088,Willow Spring Elem.Cafet.,6800 DWIGHT ROWLAND RD,,WILLOW SPRING,NC,27592-9342,(919) 557-2957,1992/08/06 04:00:00+00,Public School Lunchrooms,1356,-78.72847454,35.59342763,M,
3455247,04092020607,DOMINOS PIZZA #8940,1368 N MAIN ST ,,FUQUAY VARINA,NC,27526-2617,(919) 557-5551,1994/05/20 04:00:00+00,Food Stand,1364,-78.7753337,35.59075371,M,
3455248,04092011278,Hardees #1638,403 S Main St ,,ROLESVILLE,NC,27571-9664,(919) 554-2720,1993/05/07 04:00:00+00,Restaurant,1421,-78.46490536,35.91816505,M,
3455249,04092300049,Fresh Market Seafood and Meat Market,400 WOODBURN RD,,RALEIGH,NC,27605-1324,(919) 828-7888,1991/08/26 04:00:00+00,Meat Market,1440,-78.65854788,35.78994091,M,
3455250,04092300050,Harris Teeter #38 Meat Market ,5563 WESTERN BLVD ,,RALEIGH,NC,27606-1595,(919) 859-0110,1991/08/26 04:00:00+00,Meat Market,1441,-78.72050862,35.78412834,M,
3455251,04092300052,Harris Teeter #289 Meat Market,2603 GLENWOOD AVE ,,RALEIGH,NC,27608-1044,(919) 787-5526,1991/08/26 04:00:00+00,Meat Market,1443,-78.66059971,35.81550158,M,
3455252,04092011677,Residence Inn Foodservice,1000 NAVAHO DR ,,RALEIGH,NC,27609-7311,(919) 878-6100,1995/04/28 04:00:00+00,Restaurant,1481,-78.62401497,35.82750724,M,
3455253,04092011678,McDonald's #14961,4413 Capital BLVD ,,RALEIGH,NC,27604-4314,(919) 878-0155,1995/04/22 04:00:00+00,Restaurant,1482,-78.58053199,35.8441304,M,
3455254,04092011620,Legislative Bldg Snack Bar,16 W Jones St ,,RALEIGH,NC,27601-1030,,1995/01/10 05:00:00+00,Restaurant,1485,-78.63894782,35.78320992,M,
3455255,04092011649,DANNY'S BARBEQUE,311 ASHVILLE AVE ,,CARY,NC,27518,(919) 851-5541,1995/03/01 05:00:00+00,Restaurant,1520,-78.78493552,35.73790444,M,
3455256,04092011501,BOSTON MARKET,4558 Capital Blv ,,RALEIGH,NC,27604-4353,(919) 981-7450,1994/08/22 04:00:00+00,Restaurant,1537,-78.57896431,35.84571465,M,
3455257,04092011619,Legislative Bldg Cafeteria,16 W Jones St ,,RALEIGH,NC,27601-1030,(919) 733-6032,1995/01/10 05:00:00+00,Restaurant,1560,-78.63894782,35.78320992,M,
3455258,04092110096,Davis Drive Elem. Sch. Cafeteria,2151 DAVIS DR,,CARY,NC,27519-9276,(919) 387-2135,1994/07/19 04:00:00+00,Public School Lunchrooms,1586,-78.85122642,35.77869302,M,
3455259,04092011623,Jose and Sons Mexican Kitchen & Bar,4112 PLEASANT VALLEY RD ,,RALEIGH,NC,27612-6256,(919) 571-1188,1995/01/10 05:00:00+00,Restaurant,1555,-78.70472779,35.86043849,M,
3455260,04092300004,Larry's Supermarket - Meat Market,2041 MILBURNIE RD ,,RALEIGH,NC,27610-2211,(919) 834-0152,1991/12/05 05:00:00+00,Meat Market,1660,-78.61292832,35.78878125,M,
3455261,04092010873,Koi Asian Grill and Sushi ,126 E Millbrook RD ,,RALEIGH,NC,27609,(919) 848-4663,1991/10/28 04:00:00+00,Restaurant,1682,-78.64059755,35.85499399,M,
3455262,04092110079,Fox Road Elementary Cafeteria,7101 Fox Rd,,RALEIGH,NC,27616-6353,(919) 850-8845 ext. 23935,1991/10/28 04:00:00+00,Public School Lunchrooms,1692,-78.55535542,35.87372365,M,
3455263,04092110038,Powell Center For Play & Ingenuity Magnet Elementary,1130 MARLBOROUGH RD ,,RALEIGH,NC,27610-1125,(919) 856-7737 ext. 26340,1991/10/28 04:00:00+00,Public School Lunchrooms,1693,-78.6029279,35.7951715,M,
3455264,04092110059,Lockhart Elementary Cafeteria,1320 N SMITHFIELD RD ,,KNIGHTDALE,NC,27545-7726,(919) 266-8525 ext. 26483,1991/10/28 04:00:00+00,Public School Lunchrooms,1694,-78.48454643,35.80325299,M,
3455265,04092110076,Wendell Elem School Cafeteria,3355 WENDELL BLVD ,,WENDELL,NC,27591-7289,(919) 365-2660 ext. 22751,1991/10/28 04:00:00+00,Public School Lunchrooms,1698,-78.37227697,35.78542374,M,
3455266,04092110077,Zebulon Elem. School Cafeteria,700 PROCTOR ST ,,ZEBULON,NC,27597-8726,(919) 404-3680 ext. 21213,1991/10/28 04:00:00+00,Public School Lunchrooms,1699,-78.31958565,35.83895531,M,
3455267,04092110078,Zebulon Middle School Cafeteria,1000 SHEPARD SCHOOL RD ,,ZEBULON,NC,27597-2770,(919) 404-3630 ext. 21113,1991/10/28 04:00:00+00,Public School Lunchrooms,1700,-78.31172007,35.83148632,M,
3455268,04092010975,Cup A Joe,3100 HILLSBOROUGH ST,,RALEIGH,NC,27607-5437,(919) 828-9665,1991/10/23 04:00:00+00,Restaurant,1719,-78.67755529,35.79005017,M,
3455269,04092110015,Enloe High School Cafeteria,128 CLARENDON CRES ,,RALEIGH,NC,27610-2408,(919) 856-7918 ext. 24684,1991/10/28 04:00:00+00,Public School Lunchrooms,1690,-78.60333824,35.78424366,M,
3455270,04092010922,Seaboard Cafe,707A Seamart Dr ,,RALEIGH,NC,27604,(919) 821-7553,1991/10/23 04:00:00+00,Restaurant,1735,-78.6406953,35.79007692,M,
3455271,04092110014,Brentwood Elementary Cafeteria,3426 Ingram Dr,,RALEIGH,NC,27604-2536,(919) 850-8720 ext. 26311,1991/09/18 04:00:00+00,Public School Lunchrooms,1747,-78.59691523,35.82925374,M,
3455272,04092011561,Boston Market,9500 STRICKLAND RD,,RALEIGH,NC,27615-1935,(919) 676-7609,1994/09/22 04:00:00+00,Restaurant,1937,-78.65420963,35.90167815,M,
3455273,04092110107,Baileywick Elem Sch. Cafet.,9425 BAILEYWICK RD ,,RALEIGH,NC,27615-1912,(919) 518-0090 ext. 25644,1997/03/07 05:00:00+00,Public School Lunchrooms,1941,-78.66473205,35.90916355,M,
3455274,04092110116,Reedy Creek Elem. Cafeteria,940 REEDY CREEK RD ,,CARY,NC,27513-3046,(919) 380-3660 ext. 21684,1999/08/04 04:00:00+00,Public School Lunchrooms,1943,-78.76818761,35.81272933,M,
3455275,04092110117,Green Hope High Sch. Cafeteria,2500 Carpenter Upchurch RD ,,CARY,NC,27519,(919) 380-3684,1999/08/12 04:00:00+00,Public School Lunchrooms,1944,-78.86673632,35.80474692,M,
3455276,04092110118,Wakefield Middle Cafeteria,2300 Wakefield Pines Dr,,RALEIGH,NC,27614,(919) 562-3530,1999/08/11 04:00:00+00,Public School Lunchrooms,1945,-78.57023956,35.94594014,M,
